index,payload,model,syntax,crs,rule_count,rule_ids,rule_refs,total_score,unique_id
34,"<details open ontoggle=""(function(){const s=String.fromCodePoint(97,108,101,114,116);self[s]([88,83,83].map(x=>String.fromCodePoint(x)).join(''))})()""></details>",0,1,block,6,"933210,934100,941100,941120,941370,949110","o89,60v217,161t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,161 || v217,161t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,161t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o85,7v217,161t:urlDecodeUni,t:compressWhitespace || ",25,178032205494.067357
37,"<details open ontoggle=""(function(){const s=String.fromCodePoint(97)+String.fromCodePoint(108)+String.fromCodePoint(101)+String.fromCodePoint(114)+String.fromCodePoint(116);globalThis[s]([88,83,83].map(x=>String.fromCodePoint(x)).join(''))})()""></details>",0,1,block,6,"933210,934100,934100,941100,941120,949110","o183,60v217,255t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,255 || o25,11v217,255t:urlDecodeUni || v217,255t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,255t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,17803220588.115962
38,"<details open ontoggle=""(function(){const g=window;const m=[88,83,83];g['\u0061lert'](m.map(x=>String['\x66romCharCode'](x)).join(''))})()""></details>",0,1,block,4,"934100,941100,941120,949110","o25,11v217,150 || v217,150t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,150t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,178032206065.075724
39,"<details open ontoggle=""(function(){const g=window;const m=[88,83,83];g['ale'+'rt'](m['map'](x=>Str&#x69;ng['fromCharCode'](x))['join'](''))})()""></details>",0,1,block,6,"933210,934100,934100,941100,941120,949110","o71,73v217,156t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,156 || o25,11v217,156t:urlDecodeUni || v217,156t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,156t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,178032206194.924165
40,"<details open ontoggle=""(function(){const g=window;const m=[88,83,83];g['\u0061lert'](m['map'](x=>Str&#105;ng['\x66'+'romCharCode'](x))['\x6aoin'](''))})()""></details>",0,1,block,6,"933210,934100,934100,941100,941120,949110","o85,70v217,167t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,167 || o25,11v217,167t:urlDecodeUni || v217,167t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,167t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,178032206397.583347
41,"<details open ontoggle=""(function(){const g=window;const m=[88,83,83];g[atob('YWxlcnQ=')](m['map'](x=>Str&#105;ng[atob('ZnJvbUNoYXJDb2Rl')](x))[atob('am9pbg==')](''))})()""></details>",0,1,block,5,"933210,934100,941100,941120,949110","o89,81v217,182t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,182 || v217,182t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,182t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,178032206497.725814
42,"<details open ontoggle=""(function(){const c=top['Object']['getPrototypeOf'](function(){})['constructor'];c('ale'+'rt(88)')()})()""></details>",0,1,block,7,"933210,934100,934100,941100,941120,941370,949110","o47,81v217,140t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,140 || o25,11v217,140t:urlDecodeUni || v217,140t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,140t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,13v217,140t:urlDecodeUni,t:compressWhitespace || ",30,178032206658.298475
44,"<details open ontoggle=""(function(){const x=this['Object']['getPrototypeOf'](async function(){}),y=x['con'+'structor'];y('ale'+'rt(88)')()})()""></details>",0,1,block,7,"933210,934100,934100,941100,941120,941370,949110","o48,94v217,154t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,154 || o25,11v217,154t:urlDecodeUni || v217,154t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,154t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,14v217,154t:urlDecodeUni,t:compressWhitespace || ",30,178032206987.321211
50,"<details open ontoggle=""(function(){var x=String;globalThis['al'+'ert'](x['from'+'CharCode'](88,83,83))})()""></details>",0,1,block,6,"933210,934100,934100,941100,941120,949110","o59,48v217,119t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,119 || o25,11v217,119t:urlDecodeUni || v217,119t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,119t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,178032207837.815163
52,"<details open ontoggle=""(function(){const fn=globalThis['al'+'ert'];fn(String.fromCodePoint(0x58,0x53,0x53))})()""></details>",0,1,block,5,"934100,934100,941100,941120,949110","o25,11v217,124 || o25,11v217,124t:urlDecodeUni || v217,124t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,124t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,178032208131.030316
55,"<details open ontoggle=""(function(){top['ale'+'rt'](String.fromCharCode(88,83,83))})()""></details>",0,1,block,8,"932105,933210,934100,934100,941100,941120,941370,949110","o33,6v217,98 || o24,62v217,98t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,98 || o25,11v217,98t:urlDecodeUni || v217,98t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,98t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o36,15v217,98t:urlDecodeUni,t:compressWhitespace || ",35,178032208565.941945
58,"<details open ontoggle=""(function(){const g=top['ale'+'rt'];g(['X','S','S'].join(''))})()""></details>",0,1,block,6,"934100,934100,941100,941120,941370,949110","o25,11v217,101 || o25,11v217,101t:urlDecodeUni || v217,101t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,101t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,15v217,101t:urlDecodeUni,t:compressWhitespace || ",25,178032209034.179875
59,"<details open ontoggle=""(function(){const h=window[String.fromCharCode(97,108,101,114,116)];h(['X','S','S'].join(''))})()""></details>",0,1,block,5,"934100,941100,941120,941370,949110","o25,11v217,133 || v217,133t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,133t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,47v217,133t:urlDecodeUni,t:compressWhitespace || ",20,178032209176.988728
60,"<details open ontoggle=""(function(){const k=top[atob('YWxlcnQ=')];k(['X','S','S'].join(''))})()""></details>",0,1,block,5,"934100,941100,941120,941370,949110","o25,11v217,107 || v217,107t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,107t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,21v217,107t:urlDecodeUni,t:compressWhitespace || ",20,178032209360.419317
61,"<details open ontoggle=""(function(){const m=top['al\x65rt'];m(['X','S','S'].join(''))})()""></details>",0,1,block,5,"934100,941100,941120,941370,949110","o25,11v217,101 || v217,101t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,101t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,15v217,101t:urlDecodeUni,t:compressWhitespace || ",20,178032209546.880631
63,"<details open ontoggle=""(function(){const f=parent[String.fromCharCode(97,108,101,114,116)];f('\x58\x53\x53')})()""></details>",0,1,block,4,"934100,941100,941120,949110","o25,11v217,125 || v217,125t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,125t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,178032209846.614133
64,"<details open ontoggle=""(function(){const f=parent.constructor.constructor('return ale'+'rt')();f('\x58\x53\x53')})()""></details>",0,1,block,6,"933210,934100,934100,941100,941120,949110","o74,43v217,129t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,129 || o25,11v217,129t:urlDecodeUni || v217,129t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,129t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,178032209952.282804
65,"<details open ontoggle=""(function(){const f=parent['al'+'ert'];f(String.fromCharCode(88,83,83))})()""></details>",0,1,block,5,"934100,934100,941100,941120,949110","o25,11v217,111 || o25,11v217,111t:urlDecodeUni || v217,111t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,111t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,178032210040.202546
67,"<details open ontoggle=""(function(){const f=self['ale'+'rt'];f(`XSS`)})()""></details>",0,1,block,6,"934100,934100,941100,941120,941370,949110","o25,11v217,85 || o25,11v217,85t:urlDecodeUni || v217,85t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,85t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,16v217,85t:urlDecodeUni,t:compressWhitespace || ",25,178032210351.207511
68,"<details open ontoggle=""(function(){const f=window[atob('YWxlcnQ=')];f(`XSS`)})()""></details>",0,1,block,5,"934100,941100,941120,941370,949110","o25,11v217,93 || v217,93t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,93t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,24v217,93t:urlDecodeUni,t:compressWhitespace || ",20,178032210583.265383
72,"<details open ontoggle=""(function(){const z=self['al'+'ert'];z([88,83,83].map(c=>String['fromC'+'harCode'](c)).join(''))})()""></details>",0,1,block,7,"933210,934100,934100,941100,941120,941370,949110","o87,37v217,136t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,136 || o25,11v217,136t:urlDecodeUni || v217,136t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,136t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,16v217,136t:urlDecodeUni,t:compressWhitespace || ",30,178032211088.695225
74,"<details open ontoggle=""(function(){const f=top['a'+'l'+'e'+'r'+'t'];f(atob('WFNT'))})()""></details>",0,1,block,6,"934100,934100,941100,941120,941370,949110","o25,11v217,100 || o25,11v217,100t:urlDecodeUni || v217,100t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,100t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,24v217,100t:urlDecodeUni,t:compressWhitespace || ",25,178032211360.804760
77,"<svg onload=""(function(){const g=self[atob('YWxlcnQ')];g(String[atob('ZnJvbUNoYXJDb2Rl')](0x58,0x53,0x53))})()""></svg>",0,1,block,7,"933210,934100,941100,941120,941160,941370,949110","o56,54v217,118t:urlDecode,t:replaceComments,t:compressWhitespace || o14,11v217,118 || v217,118t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o4,8v217,118t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o0,12v217,118t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o33,21v217,118t:urlDecodeUni,t:compressWhitespace || ",30,178032211836.251621
78,"<details open ontoggle=""(function(){const f=top['\u0061l\u0065rt'];f([88,83,83].map(c=>String.fromCharCode(c)).join(''))})()""></details>",0,1,block,5,"934100,941100,941120,941370,949110","o25,11v217,136 || v217,136t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,136t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,22v217,136t:urlDecodeUni,t:compressWhitespace || ",20,178032211944.372127
79,"<details open ontoggle=""(function(){const f=globalThis[atob('YWxlcnQ=')];f([88,83,83].map(c=>String.fromCharCode(c)).join(''))})()""></details>",0,1,block,4,"934100,941100,941120,949110","o25,11v217,142 || v217,142t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,142t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,178032212176.447431
80,"<details open ontoggle=""(function(){const f=parent['al'+'ert'];f`XSS`})()""></details>",0,1,block,5,"934100,934100,941100,941120,949110","o25,11v217,85 || o25,11v217,85t:urlDecodeUni || v217,85t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,85t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,178032212281.795486
82,"<details open ontoggle=""(function(){const f=top[atob('YWxlcnQ=')];f((s=>s)(atob('WFNT')))})()""></details>",0,1,block,5,"934100,941100,941120,941370,949110","o25,11v217,105 || v217,105t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,105t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,21v217,105t:urlDecodeUni,t:compressWhitespace || ",20,178032212694.897195
86,"<details open ontoggle=""(function(){const f=globalThis[atob('YWxlcnQ=')];f(btoa('WFNT')&&String.fromCharCode(88,83,83))})()""></details>",0,1,block,4,"934100,941100,941120,949110","o25,11v217,135 || v217,135t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,135t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,178032213251.985772
87,"<details open ontoggle=""(function(){const f=self['al'+'ert'];f(btoa('WFNT')&&88['toString']()[0]+'S'+'S')})()""></details>",0,1,block,7,"933210,934100,934100,941100,941120,941370,949110","o79,30v217,121t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,121 || o25,11v217,121t:urlDecodeUni || v217,121t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,121t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,16v217,121t:urlDecodeUni,t:compressWhitespace || ",30,178032213378.141417
90,"<details open ontoggle=""(function(){const x=self['al\u0065rt'];x(88)})()""></details>",0,1,block,5,"934100,941100,941120,941370,949110","o25,11v217,84 || v217,84t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,84t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,18v217,84t:urlDecodeUni,t:compressWhitespace || ",20,178032213823.352726
91,"<details open ontoggle=""(function(){const x=top['ale'+'rt'];x(88)})()""></details>",0,1,block,6,"934100,934100,941100,941120,941370,949110","o25,11v217,81 || o25,11v217,81t:urlDecodeUni || v217,81t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,81t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,15v217,81t:urlDecodeUni,t:compressWhitespace || ",25,178032213986.351073
92,"<details open ontoggle=""(function(){const x=[]['constructor']['constructor']('retur'+'n ale'+'rt')();x(88)})()""></details>",0,1,block,6,"933210,934100,934100,941100,941120,949110","o44,66v217,122t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,122 || o25,11v217,122t:urlDecodeUni || v217,122t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,122t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",25,178032214199.835898
93,"<details open ontoggle=""(function(){const x=parent['al\x65rt'];x(88)})()""></details>",0,1,block,4,"934100,941100,941120,949110","o25,11v217,84 || v217,84t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,84t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,178032214269.384908
94,"<details open ontoggle=""(function(){self['ev\x61l']('\x61lert(88)')})()""></details>",0,1,block,5,"934100,941100,941120,941370,949110","o25,11v217,83 || v217,83t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,83t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o36,15v217,83t:urlDecodeUni,t:compressWhitespace || ",20,178032214421.577946
96,"<details open ontoggle=""(function(){globalThis['\x65val'](atob('YWxlcnQoJ1hTUycp'))})()""></details>",0,1,block,4,"934100,941100,941120,949110","o25,11v217,99 || v217,99t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,99t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,178032214768.808430
97,"<details open ontoggle=""(function(){(1,eval)(String['\x66romCharCode'](97,108,101,114,116,40,49,41))})()""></details>",0,1,block,5,"933210,934100,941100,941120,949110","o24,80v217,116t:urlDecode,t:replaceComments,t:compressWhitespace || o25,11v217,116 || v217,116t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,116t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",20,178032214811.167699
98,"<details open ontoggle=""(function(){const f=top['al'+'ert'];f('XSS')})()""></details>",0,1,block,6,"934100,934100,941100,941120,941370,949110","o25,11v217,84 || o25,11v217,84t:urlDecodeUni || v217,84t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,84t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o44,15v217,84t:urlDecodeUni,t:compressWhitespace || ",25,178032215077.377641
99,"<details open ontoggle=""(function(){const f=globalThis[String.fromCharCode(97,108,101,114,116)];f('XSS')})()""></details>",0,1,block,4,"934100,941100,941120,949110","o25,11v217,120 || v217,120t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || o13,10v217,120t:utf8toUnicode,t:urlDecodeUni,t:htmlEntityDecode,t:jsDecode,t:cssDecode,t:removeNulls || ",15,178032215130.142613
